Number,date,day,month,opponent,win_loss,runs,runs_allowed,innings,rank,games_behind_raw,day_night_raw,attendance,home,win_total,loss_total,win_percentage,streak,game_duration,games_behind,google_trends,distance,avg_run,avg_run_allowed,avg_inning,avg_duration,temperature
2,"Wednesday, Apr 6 2016",Wednesday,Apr,WSN,L,1,3,9,3,2,N,"18,531",1,0,2,0,-2,173,-2,21,638.6,2.5,1.1,9.1,176.5,17.9
3,"Friday, Apr 8 2016",Friday,Apr,STL,L,4,7,9,4,2,N,"24,824",1,0,3,0,-3,180,-2,21,554.9,2.4,1.3,9.1,176.1,22.7
4,"Saturday, Apr 9 2016",Saturday,Apr,STL,L,2,12,9,5,2.5,N,"33,471",1,0,4,0,-4,210,-2.5,21,554.9,2.6,1.9,9.1,176.5,28.5
5,"Sunday, Apr 10 2016",Sunday,Apr,STL,L,7,12,9,5,3.5,D,"23,214",1,0,5,0,-5,235,-3.5,19,554.9,2.6,3,9.1,177.1,27.1
6,"Tuesday, Apr 19 2016",Tuesday,Apr,LAD,W,8,1,9,5,6,N,"14,160",1,4,9,0.307692308,4,177,-6,18,2182.4,3.1,4.1,9.1,183,24.9
7,"Wednesday, Apr 20 2016",Wednesday,Apr,LAD,L,3,5,10,5,7,N,"16,087",1,4,10,0.285714286,-1,234,-7,18,2182.4,3.7,4.2,9.1,182.7,27.2
8,"Thursday, Apr 21 2016",Thursday,Apr,LAD,L,1,2,10,5,7,D,"18,431",1,4,11,0.266666667,-2,208,-7,18,2182.4,4,4.4,9.2,187.6,26.2
9,"Friday, Apr 22 2016",Friday,Apr,NYM,L,3,6,9,5,8,N,"21,173",1,4,12,0.25,-3,201,-8,18,864.2,3.7,4.6,9.3,193.2,26.2
10,"Saturday, Apr 23 2016",Saturday,Apr,NYM,L,2,8,9,5,9,N,"35,230",1,4,13,0.235294118,-4,180,-9,18,864.2,3.4,5.2,9.3,200.3,15.8
11,"Sunday, Apr 24 2016",Sunday,Apr,NYM,L,2,3,9,5,10,D,"32,085",1,4,14,0.222222222,-5,176,-10,15,864.2,3.4,6,9.3,200.1,19.4
12,"Monday, Apr 25 2016",Monday,Apr,BOS,L,0,1,9,5,10.5,N,"22,735",1,4,15,0.210526316,-6,175,-10.5,15,1077,3.3,5.9,9.2,197.4,21.2
13,"Tuesday, Apr 26 2016",Tuesday,Apr,BOS,L,4,11,9,5,10.5,N,"23,487",1,4,16,0.2,-7,172,-10.5,15,1077,3.2,5.7,9.2,197.6,25.7
14,"Friday, May 6 2016",Friday,May,ARI,L,2,7,9,5,11.5,N,"23,514",1,7,21,0.25,-2,198,-11.5,12,1845.6,3.2,6.1,9.2,196.8,24.7
15,"Saturday, May 7 2016",Saturday,May,ARI,L,2,4,9,5,11.5,N,"22,178",1,7,22,0.24137931,-3,197,-11.5,12,1845.6,3.2,5.6,9.2,195.6,27.5
16,"Sunday, May 8 2016",Sunday,May,ARI,L,3,5,11,5,12,D,"17,106",1,7,23,0.233333333,-4,228,-12,13,1845.6,2.7,4.8,9.2,191.8,21.4
17,"Tuesday, May 10 2016",Tuesday,May,PHI,L,2,3,9,5,12.5,N,"14,490",1,7,24,0.225806452,-5,153,-12.5,13,778.3,2.2,5.2,9.4,196.9,21.8
18,"Wednesday, May 11 2016",Wednesday,May,PHI,W,5,1,9,5,12.5,N,"13,760",1,8,24,0.25,1,140,-12.5,13,778.3,2.1,5,9.3,188.8,26.7
19,"Thursday, May 12 2016",Thursday,May,PHI,L,4,7,10,5,12.5,N,"15,643",1,8,25,0.242424242,-1,194,-12.5,13,778.3,2.5,4.9,9.2,182,26.4
20,"Tuesday, May 24 2016",Tuesday,May,MIL,L,1,2,9,5,15,N,"15,185",1,12,32,0.272727273,-2,188,-15,14,813.9,2.6,5,9.3,181.3,26.7
